position,accuracy
p_1,0.009259259259259259
p_2,0.037037037037037035
p_3,0.037037037037037035
p_4,0.018518518518518517
p_5,0.037037037037037035
p_6,0.009259259259259259
p_7,0.009259259259259259
p_8,0.018518518518518517
p_9,0.027777777777777776
p_10,0.018518518518518517
p_11,0.018518518518518517
p_12,0.037037037037037035
p_13,0.046296296296296294
p_14,0.0
p_15,0.027777777777777776
p_16,0.018518518518518517
p_17,0.009259259259259259
p_18,0.027777777777777776
p_19,0.009259259259259259
p_20,0.009259259259259259
p_21,0.009259259259259259
p_22,0.046296296296296294
p_23,0.037037037037037035
p_24,0.018518518518518517
p_25,0.0
p_26,0.009259259259259259
p_27,0.0
p_28,0.018518518518518517
p_29,0.037037037037037035
p_30,0.037037037037037035
p_31,0.0
p_32,0.018518518518518517
p_33,0.009259259259259259
p_34,0.0
p_35,0.027777777777777776
p_36,0.009259259259259259
p_37,0.009259259259259259
p_38,0.046296296296296294
p_39,0.027777777777777776
p_40,0.0
p_41,0.009259259259259259
p_42,0.027777777777777776
p_43,0.009259259259259259
p_44,0.0
p_45,0.009259259259259259
p_46,0.037037037037037035
p_47,0.027777777777777776
p_48,0.009259259259259259
p_49,0.018518518518518517
p_50,0.009259259259259259
p_51,0.027777777777777776
p_52,0.018518518518518517
p_53,0.037037037037037035
p_54,0.018518518518518517
p_55,0.009259259259259259
p_56,0.009259259259259259
p_57,0.009259259259259259
p_58,0.018518518518518517
p_59,0.018518518518518517
p_60,0.0
p_61,0.046296296296296294
p_62,0.009259259259259259
p_63,0.046296296296296294
p_64,0.009259259259259259
p_65,0.018518518518518517
p_66,0.018518518518518517
p_67,0.027777777777777776
p_68,0.009259259259259259
p_69,0.018518518518518517
p_70,0.018518518518518517
p_71,0.037037037037037035
p_72,0.0
p_73,0.018518518518518517
p_74,0.009259259259259259
p_75,0.027777777777777776
p_76,0.018518518518518517
p_77,0.046296296296296294
p_78,0.0
p_79,0.0
p_80,0.046296296296296294
p_81,0.06481481481481481
p_82,0.009259259259259259
p_83,0.027777777777777776
p_84,0.018518518518518517
p_85,0.018518518518518517
p_86,0.009259259259259259
p_87,0.009259259259259259
p_88,0.037037037037037035
p_89,0.027777777777777776
p_90,0.027777777777777776
p_91,0.018518518518518517
p_92,0.037037037037037035
p_93,0.018518518518518517
p_94,0.037037037037037035
p_95,0.009259259259259259
p_96,0.027777777777777776
p_97,0.0
p_98,0.009259259259259259
p_99,0.009259259259259259
p_100,0.009259259259259259
p_101,0.027777777777777776
p_102,0.0
p_103,0.018518518518518517
p_104,0.027777777777777776
p_105,0.009259259259259259
p_106,0.009259259259259259
p_107,0.0
p_108,0.037037037037037035
p_109,0.009259259259259259
p_110,0.046296296296296294
p_111,0.0
p_112,0.037037037037037035
p_113,0.009259259259259259
p_114,0.009259259259259259
p_115,0.009259259259259259
p_116,0.027777777777777776
p_117,0.046296296296296294
p_118,0.009259259259259259
p_119,0.018518518518518517
p_120,0.027777777777777776
p_121,0.009259259259259259
p_122,0.009259259259259259
p_123,0.027777777777777776
p_124,0.018518518518518517
p_125,0.018518518518518517
p_126,0.018518518518518517
p_127,0.018518518518518517
p_128,0.037037037037037035
p_129,0.027777777777777776
p_130,0.018518518518518517
p_131,0.046296296296296294
p_132,0.018518518518518517
p_133,0.018518518518518517
p_134,0.027777777777777776
p_135,0.009259259259259259
p_136,0.027777777777777776
p_137,0.018518518518518517
p_138,0.0
p_139,0.0
p_140,0.027777777777777776
p_141,0.009259259259259259
p_142,0.009259259259259259
p_143,0.027777777777777776
p_144,0.018518518518518517
p_145,0.018518518518518517
p_146,0.009259259259259259
p_147,0.009259259259259259
p_148,0.027777777777777776
p_149,0.018518518518518517
p_150,0.046296296296296294
p_151,0.009259259259259259
p_152,0.009259259259259259
p_153,0.009259259259259259
p_154,0.009259259259259259
p_155,0.0
p_156,0.018518518518518517
p_157,0.0
p_158,0.009259259259259259
p_159,0.0
p_160,0.046296296296296294
p_161,0.027777777777777776
p_162,0.0
p_163,0.027777777777777776
p_164,0.0
p_165,0.037037037037037035
p_166,0.027777777777777776
p_167,0.018518518518518517
p_168,0.0
p_169,0.018518518518518517
p_170,0.0
p_171,0.0
p_172,0.037037037037037035
p_173,0.046296296296296294
p_174,0.05555555555555555
p_175,0.027777777777777776
p_176,0.027777777777777776
p_177,0.027777777777777776
p_178,0.009259259259259259
p_179,0.009259259259259259
p_180,0.018518518518518517
p_181,0.018518518518518517
p_182,0.009259259259259259
p_183,0.009259259259259259
p_184,0.027777777777777776
p_185,0.009259259259259259
p_186,0.018518518518518517
p_187,0.027777777777777776
p_188,0.037037037037037035
p_189,0.018518518518518517
p_190,0.0
p_191,0.009259259259259259
p_192,0.046296296296296294
p_193,0.009259259259259259
p_194,0.0
p_195,0.009259259259259259
p_196,0.018518518518518517
p_197,0.009259259259259259
p_198,0.027777777777777776
p_199,0.046296296296296294
p_200,0.018518518518518517
p_201,0.018518518518518517
p_202,0.0
p_203,0.05555555555555555
p_204,0.009259259259259259
p_205,0.018518518518518517
p_206,0.027777777777777776
p_207,0.046296296296296294
p_208,0.037037037037037035
p_209,0.009259259259259259
p_210,0.018518518518518517
p_211,0.037037037037037035
p_212,0.027777777777777776
p_213,0.027777777777777776
p_214,0.05555555555555555
p_215,0.009259259259259259
p_216,0.018518518518518517
p_217,0.027777777777777776
p_218,0.0
p_219,0.018518518518518517
p_220,0.018518518518518517
p_221,0.009259259259259259
p_222,0.018518518518518517
p_223,0.0
p_224,0.018518518518518517
p_225,0.027777777777777776
p_226,0.027777777777777776
p_227,0.0
p_228,0.009259259259259259
p_229,0.009259259259259259
p_230,0.06481481481481481
p_231,0.009259259259259259
p_232,0.009259259259259259
p_233,0.027777777777777776
p_234,0.018518518518518517
p_235,0.027777777777777776
p_236,0.018518518518518517
p_237,0.018518518518518517
p_238,0.027777777777777776
p_239,0.0
p_240,0.027777777777777776
p_241,0.0
p_242,0.027777777777777776
p_243,0.027777777777777776
p_244,0.0
p_245,0.0
p_246,0.018518518518518517
p_247,0.0
p_248,0.009259259259259259
p_249,0.027777777777777776
p_250,0.009259259259259259
p_251,0.009259259259259259
p_252,0.037037037037037035
p_253,0.027777777777777776
p_254,0.009259259259259259
p_255,0.018518518518518517
p_256,0.018518518518518517
p_257,0.027777777777777776
p_258,0.018518518518518517
p_259,0.027777777777777776
p_260,0.018518518518518517
p_261,0.0
p_262,0.018518518518518517
